Descriptor,Importance,Descriptor Type,Description,Class
MOMI-R,-0.0001191180075141,MomentOfInertiaDescriptor,Radius of gyration ,3D
TDB8r,-0.000121202353531,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / weighted by covalent radius,3D
VP-0,-0.00012158406726,PaDELChiPathDescriptor,"Valence path, order 0",2D
GGI2,-0.0001216723912968,TopologicalChargeDescriptor,Topological charge index of order 2,2D
nP,-0.000121929478137,AtomCountDescriptor,Number of phosphorus atoms,2D
PubchemFP16,-0.0001220939830147,Element Counts,>= 4 N,FP
RDF90m,-0.0001225967672538,RDFDescriptor,Radial distribution function - 090 / weighted by relative mass,3D
AATS1m,-0.0001234731858388,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 1 / weighted by mass,2D
SpMax2_Bhi,-0.0001238778323151,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative first ionization potential,2D
SpMax3_Bhm,-0.000124032865571,BurdenModifiedEigenvaluesDescriptor,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative mass,2D
minaasC,-0.000124514639037,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: :C:-,2D
L3e,-0.0001256779014138,PaDELWHIMDescriptor,3rd component size directional WHIM index / weighted by relative Sanderson electronegativities,3D
ETA_Eta_B_RC,-0.0001261566625196,ExtendedTopochemicalAtomDescriptor,Branching index EtaB (with ring correction),2D
maxHsOH,-0.0001282508007055,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: -OH,2D
RNCG,-0.0001283844571134,CPSADescriptor,Relative negative charge -- most negative charge / total negative charge,3D
ATS8s,-0.0001293773798998,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 8 / weighted by I-state,2D
maxaaNH,-0.0001323615840704,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: :NH:,2D
SaaNH,-0.0001349193699993,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: :NH:,2D
nHeavyAtom,-0.0001356561167803,AtomCountDescriptor,Number of heavy atoms (i.e. not hydrogen),2D
MATS6v,-0.0001363066369837,AutocorrelationDescriptor,Moran autocorrelation - lag 6 / weighted by van der Waals volumes,2D
RDF155p,-0.0001380170922029,RDFDescriptor,Radial distribution function - 155 / weighted by relative polarizabilities,3D
SPC-4,-0.0001380272627998,ChiPathClusterDescriptor,"Simple path cluster, order 4",2D
MLFER_BH,-0.0001390310262251,MLFERDescriptor,Overall or summation solute hydrogen bond basicity,2D
ATS3s,-0.0001397535106415,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 3 / weighted by I-state,2D
PubchemFP366,-0.0001408136493954,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~H)(~O),FP
MOMI-Z,-0.0001417727923885,MomentOfInertiaDescriptor,Moment of inertia along Z axis ,3D
PubchemFP374,-0.0001418767866468,"Atom Nearest Neighbors (""~"" bond, "":""bond aromaticity)",C(~H)(~H)(~H),FP
minssS,-0.0001422662178317,ElectrotopologicalStateAtomTypeDescriptor,Minimum atom-type E-State: -S-,2D
VP-2,-0.0001427918899228,PaDELChiPathDescriptor,"Valence path, order 2",2D
